name,country,sport,height
Traci Rhodes,1,2,1.88
Sara Gross,1,1,1.61
James Garza,1,1,1.89
Brenda Moore,1,2,2.01
Christina Clarke,1,1,1.73
Matthew Lopez,1,3,2.1
Carrie Collins,3,1,1.63
Philip Aguilar,2,1,1.62
Michelle Romero,1,2,1.97
Caleb Reed,1,1,1.88
Dwayne Greene,3,3,2.3
Edward Brown,3,3,1.96
Erica Richardson,1,1,1.73
Daniel Clark,2,3,1.95
Julie Lopez,2,1,1.7
Stephen Gonzalez,1,2,2.09
Dana Miller,4,3,2.02
Andrea Hill,4,1,1.7
Kathy Price,1,2,1.94
Christopher Edwards,1,3,1.89
Jeremy Taylor,4,3,2.13
Kimberly Brooks,4,3,2.24
Dr. Jasmine Grant,1,1,1.6
Nicole Burgess,1,3,1.95
Derrick Miller,4,1,1.5
Joseph Mitchell,1,2,1.78
Donna Hughes,1,2,1.83
Margaret Yoder,2,3,2.02
John Hernandez,1,3,1.72
Jason Smith DDS,1,3,1.89
Joseph Black,2,2,1.72
Amy Moore,1,2,1.98
Michael Cook,1,2,1.83
Joseph Wilson,1,1,1.67
Dana Washington,1,2,1.97
Alexandra Brown,3,2,2.05
Dana Johnson DVM,3,2,2.03
Lisa Lyons,1,1,1.78
Elizabeth Bentley,1,3,2.14
Kevin Kennedy,2,1,1.87
Mrs. Tammy Baldwin,1,3,1.89
Rachel Henry,1,3,2.09
Mr. Nicholas Weaver,1,2,2.09
Kristin Caldwell,2,1,1.7
Christopher Lee,4,3,2.07
Brandon Nelson,4,2,1.64
Sharon Mooney,1,3,1.86
Michael Guerrero,1,3,1.9
Danielle Hale,2,2,1.98
Wesley Martinez,2,3,2.1
Kathy Thompson,1,3,2.02
Stephanie Garrison,1,1,1.71
Michael Hanson,1,1,1.76
Brandon Ayers,1,2,1.94
Vanessa Taylor,1,2,1.88
William Barnett,3,2,2.02
Heidi Mcdonald,4,3,2.07
Amber Dixon,3,3,2.01
Craig Roberson,2,2,1.85
Vickie Edwards,1,2,1.65
Charlotte Perry,1,2,1.91
George Escobar,2,1,1.54
Matthew Moore,1,2,1.84
Lindsay Williams,3,3,1.95
Megan Rogers,1,2,1.72
Stanley Nichols,2,2,1.88
Michael Smith,3,1,1.83
Madison Garcia,1,1,1.74
Laura Henderson,1,1,1.82
Timothy Brock,2,2,2.01
Peter Spence,1,1,1.59
Robert Walker,3,3,2.07
Katherine Smith,2,1,1.55
Daniel Brown,1,3,2.05
Rodney Davis,4,3,2.09
Darryl Gomez MD,4,3,1.96
Alexander Scott,2,1,1.62
Catherine Small,1,2,1.74
Jordan Pineda,1,2,1.89
Janice Oconnor,4,1,1.61
Erica Hoffman,3,2,1.85
Ian Lindsey,1,2,1.72
Bridget Jones,2,2,2.11
Christopher Patterson,1,2,1.85
Tiffany Butler,1,1,1.78
Christina Mcdonald,1,1,1.72
Chad Miller,4,2,1.67
Terry Harper,2,3,1.97
Ann Jones,1,3,2.09
Zachary Clark,3,1,1.68
Scott Keller,2,3,2.16
Elizabeth Stein,1,2,1.94
Jason Tanner,4,1,1.67
Jorge Jones,1,1,1.66
Amy Spencer,4,1,1.75
Sharon Moreno,2,2,2.04
Ryan Lopez,1,1,1.74
Rebekah Good,1,2,1.78
Tina Perry,4,1,1.8
Mark Zuniga,4,1,1.61
Todd Torres,1,1,1.66
Bryan Garcia,4,3,1.83
Erica Wood,2,3,1.84
William Carey,4,1,1.72
Anthony Mora,2,3,1.89
Tara Santos,3,1,1.67
Ryan Aguilar,1,3,1.88
James Miller,1,1,1.8
Erin Snow,4,3,1.99
Judy Black,3,2,1.77
Allison Huang,1,1,1.78
Leslie Miles,2,2,1.7
Shawn Murray,3,3,2.05
Molly Miller,2,1,1.75
Elizabeth Brown,1,3,1.88
Lisa Griffith,3,1,1.53
Cheryl Thompson,1,1,1.66
Brian Turner,1,3,1.97
Christopher Pittman,2,3,2.06
Kevin Newman,1,3,2.16
Ricardo Green,1,2,2.02
Bryan Rivers,1,3,2.14
Ian Brown,2,3,2.19
Gary Pena,3,1,1.79
Dawn Roberts,1,1,1.62
Nicholas Bush,1,1,1.59
Sandra Stevens,3,3,2.01
Timothy Salinas,4,2,1.84
Scott Medina,1,3,2.15
Gregory Davis,1,3,1.84
Bryce Francis,1,1,1.67
Cathy Lopez,1,3,2.24
Tiffany Nelson,2,2,1.84
Marissa Parrish,1,1,1.58
Veronica Beasley,3,1,1.5
Tara Lamb,1,1,1.71
Derek Vincent,3,3,2.17
Justin Roberts,2,3,1.89
Connie Chan,4,3,2.08
Mark Chandler,4,2,1.98
Cody Carter,1,1,1.67
Amanda Johnson,2,1,1.76
David Burgess,1,1,1.67
David Good,3,3,2.0
Seth Wang,2,1,1.76
Brooke Hopkins,2,2,1.76
Kayla Allen,2,3,1.94
Brittney Meyer,2,2,1.7
Bryce Ryan,1,3,1.77
Zoe Orozco,2,1,1.76
Wendy Andersen,2,2,1.92
Shelly Crosby,1,3,1.98
John Martinez,1,3,1.86
Joseph Watkins,1,2,1.92
Jennifer Gibson,1,3,1.95
Ronald Mcclure,3,3,2.08
Eric Campbell,1,1,1.88
Mary Mckenzie,1,1,1.74
Crystal Strong,1,1,1.84
Eddie Horton,3,1,1.52
Ana Hernandez,4,3,1.87
Robert Henderson,3,1,1.8
Thomas Bailey,2,2,1.76
David Harris,1,1,1.72
Caitlin Barker,1,1,1.64
Michael Garcia,1,3,2.13
Desiree Myers,1,1,1.72
Renee Ho,1,1,1.66
Jimmy Harris,2,2,1.94
Alyssa Robinson,1,1,1.74
William Walker,2,1,1.8
James Ruiz,1,2,2.04
Ms. Catherine Lewis,4,1,1.71
Megan Pennington,2,2,2.06
Christopher Mendoza,1,1,1.65
Emily George,1,2,1.8
Wendy Green,3,1,1.79
Emily Barnes,1,1,1.91
Pam Bell,1,1,1.75
Stephen Reynolds,4,1,1.56
Jason Baker,1,1,1.72
Laura Walker,1,2,1.98
Crystal Gonzalez,4,2,1.81
Maureen Lucero,2,2,1.72
Robert Browning,1,3,1.89
Rita Lawson,2,2,2.19
Mary Miller,2,1,1.87
Katherine Thompson,1,1,1.72
Kathleen Odonnell,1,2,1.86
Nathan Craig,1,2,1.95
David Gomez,1,2,1.62
Steven Ramirez,1,3,1.87
James Black,2,2,1.77
Teresa Lane,1,1,1.72
Travis Adkins,1,2,1.73
Austin Martinez,1,3,2.14
Megan Rich DDS,1,3,2.16
Donna Lewis,1,3,1.84
Emily Barber,1,3,1.95
Alisha Hall,1,1,1.84
Colleen Johnson,3,3,2.05
Dawn Brown,1,1,1.79
Oscar Pitts,1,3,2.18
John Allen,2,3,2.1
Stephanie Brown,2,3,2.25
Veronica Gross,1,1,1.69
Christopher Baxter,1,1,1.89
Angela Torres,2,2,1.89
Terry Bond,3,3,2.15
Julie Robertson,1,1,1.73
Alison Webster,1,3,2.08
Sherry Phillips,2,3,2.09
Erin Rodriguez,1,2,2.01
Richard Smith,1,2,2.02
Sarah Mccarthy,2,2,1.84
Theresa Frederick,2,3,2.05
Kendra Davis,1,3,2.3
Michelle Glover,1,1,1.68
Jenna Phillips,4,2,1.86
Gina Martin,1,2,1.94
Evan Watson,1,1,1.84
Ricardo Graham,3,2,1.9
Maria Steele,1,3,1.73
Patrick Dickerson,1,2,1.85
Kelly Taylor,1,2,1.83
Ashlee Duke,1,3,2.17
Zachary Villanueva MD,1,3,1.89
Thomas Thompson,2,2,2.01
Terry Rodriguez,1,2,1.73
Juan Larsen,1,1,1.7
Tina Martin,3,2,1.7
Angela Quinn DVM,2,1,1.75
Cassidy Johnson,2,3,2.16
Stephen Baldwin,1,1,1.86
Bryan Coffey,1,1,1.64
Shelia Robertson,2,3,2.25
Marcus Bell,1,3,2.1
Jack Rivera,1,1,1.79
Jason Mitchell,3,1,1.84
Dawn Allen,1,1,1.79
Faith Garner,2,2,1.86
Brian Johnson,3,2,1.92
Alicia Coleman,2,1,1.94
Shawn Powers,3,1,1.55
Erin Ross,1,3,1.92
Mark Anderson,1,3,2.24
Rebecca Petty,2,2,1.8
Katherine Wise,1,2,1.91
Cheyenne Rangel,1,1,1.91
Caitlin Fisher,2,3,1.98
Lauren Garcia,1,3,1.92
Mallory Castaneda,1,3,2.08
Jay Reeves,1,3,1.94
Summer Perez,1,1,1.67
Mr. Larry Kim,1,3,2.25
Daniel Rodriguez,3,1,1.82
Marc Hubbard,1,1,1.59
Christine Richards,4,2,1.87
Nicole Peterson,1,3,2.08
Robin Navarro,4,1,1.87
Sarah Medina,1,2,1.83
Eric Baker,1,1,1.63
Brent Perry,2,2,1.98
John Nash,1,2,2.06
Ashley Casey,1,1,1.71
Lori Jones,1,2,2.02
Kayla Perez,2,3,1.97
James Owens,4,1,1.67
Amy Quinn,1,2,2.05
Jordan Everett,2,2,2.15
Steven Reyes,1,2,2.1
Victoria Bridges,4,1,1.83
Jennifer Vaughan,1,2,2.05
Samantha Adams,2,3,2.13
Matthew Stewart,2,2,1.86
Debbie Whitney,4,1,1.8
Kimberly Anderson,1,3,1.91
Jimmy Stewart,2,1,1.8
Brenda Stafford,1,2,1.83
Autumn Moore,2,2,1.74
Mary Kaiser,1,1,1.82
Nicole Parrish,1,1,1.8
Carl Pearson,2,3,1.91
Laurie Garcia,1,2,1.74
John Bell,1,2,1.83
Drew Stevenson,1,2,1.84
Tricia Key,1,3,1.88
Carla Ramirez,4,2,2.07
Stephen Cabrera,1,2,1.8
Megan Washington,1,3,1.71
Timothy Martin,1,3,1.97
Christine Reyes,2,1,1.64
Shane Abbott,2,2,1.77
Jeffrey Mcfarland,3,1,1.67
Mario Johnson,1,2,1.87
Paige Fisher,2,3,1.82
Peter Bell,1,3,2.3
Patricia Cole,4,2,1.93
Steven Wallace,2,3,1.96
Erica Pena,1,2,1.75
Henry Perez,4,1,1.75
Cheryl Brown,1,3,1.94
John Lewis,1,1,1.64
Teresa Jennings,1,3,2.14
Jessica Ellis,2,3,2.17
